car_id,car_make,car_model,car_model_year, monthly total costs , yearly total costs , Total revenue ,Total profit,,,,,,,car_id, loss_profit 
9021726513,Buick,Regal,2018, $697.02 ," $8,364.24 "," $9,525.00 "," $1,160.76 ",,,,,,,-, none 
2781456632,Ford,F250,2018, $766.99 ," $9,203.88 "," $16,547.00 "," $7,343.12 ",,,,,,,-, none 
6968649675,Pontiac,Montana SV6,2017, $763.69 ," $9,164.28 "," $17,140.00 "," $7,975.72 ",,,,,,,-, none 
5860278152,Toyota,TundraMax,2018, $611.90 ," $7,342.80 "," $11,395.00 "," $4,052.20 ",,,,,,,-, none 
4260728202,Kia,Sedona,2018, $885.58 ," $10,626.96 "," $12,881.00 "," $2,254.04 ",,,,,,,-, none 
2829496132,Hyundai,Elantra,2018, $860.72 ," $10,328.64 "," $12,049.00 "," $1,720.36 ",,,,,,,-, none 
4922685790,Maserati,Quattroporte,2016, $586.57 ," $7,038.84 "," $14,683.00 "," $7,644.16 ",,,,,,,-, none 
9316156211,Aston Martin,V8 Vantage,2016, $520.65 ," $6,247.80 "," $12,282.00 "," $6,034.20 ",,,,,,,-, none 
6784695232,Acura,RL,2018, $701.65 ," $8,419.80 "," $10,366.00 "," $1,946.20 ",,,,,,,-, none 
1096065088,Pontiac,Grand Am,2016, $715.99 ," $8,591.88 "," $16,654.00 "," $8,062.12 ",,,,,,,-, none 
7760281064,Lexus,LX,2017, $652.84 ," $7,834.08 "," $12,691.00 "," $4,856.92 ",,,,,,,-, none 
7657663588,Nissan,Sentra,2017, $826.29 ," $9,915.48 "," $12,223.00 "," $2,307.52 ",,,,,,,-, none 
8910958898,Ford,E250,2017, $629.26 ," $7,551.12 "," $13,481.00 "," $5,929.88 ",,,,,,,-, none 
5047144836,Nissan,Xterra,2017, $644.09 ," $7,729.08 "," $10,297.00 "," $2,567.92 ",,,,,,,-, none 
8421400266,Mazda,B2600,2017, $604.10 ," $7,249.20 "," $7,641.00 ", $391.80 ,,,,,,,-, none 
6252839582,GMC,Yukon XL 2500,2018, $720.88 ," $8,650.56 "," $11,295.00 "," $2,644.44 ",,,,,,,-, none 
7252349349,Dodge,Viper,2018, $792.82 ," $9,513.84 "," $13,765.00 "," $4,251.16 ",,,,,,,-, none 
4417536147,Audi,A4,2018, $860.36 ," $10,324.32 "," $11,753.00 "," $1,428.68 ",,,,,,,-, none 
6586338646,Mazda,MX-6,2018, $844.55 ," $10,134.60 "," $16,738.00 "," $6,603.40 ",,,,,,,-, none 
5579215231,BMW,7 Series,2017, $800.37 ," $9,604.44 "," $14,158.00 "," $4,553.56 ",,,,,,,-, none 
6022802105,Oldsmobile,Cutlass Supreme,2016, $687.11 ," $8,245.32 "," $13,679.00 "," $5,433.68 ",,,,,,,-, none 
6063148892,Aston Martin,DB9,2018, $540.73 ," $6,488.76 "," $15,274.00 "," $8,785.24 ",,,,,,,-, none 
2005101990,Ford,F250,2018, $635.53 ," $7,626.36 "," $15,778.00 "," $8,151.64 ",,,,,,,-, none 
1250848733,Ford,Aerostar,2017, $697.75 ," $8,373.00 "," $15,199.00 "," $6,826.00 ",,,,,,,-, none 
5508661182,Acura,TL,2017, $518.79 ," $6,225.48 "," $14,410.00 "," $8,184.52 ",,,,,,,-, none 
6239326445,Suzuki,Aerio,2017, $722.51 ," $8,670.12 "," $8,703.00 ", $32.88 ,,,,,,,-, none 
5662039658,Buick,Electra,2017, $756.22 ," $9,074.64 "," $10,123.00 "," $1,048.36 ",,,,,,,-, none 
7337361904,Volvo,S40,2017, $797.27 ," $9,567.24 "," $11,545.00 "," $1,977.76 ",,,,,,,-, none 
9413758816,Ford,Thunderbird,2017, $810.50 ," $9,726.00 "," $14,031.00 "," $4,305.00 ",,,,,,,-, none 
3413008374,Eagle,Talon,2016, $647.00 ," $7,764.00 "," $11,109.00 "," $3,345.00 ",,,,,,,-, none 
8042916906,Mitsubishi,Diamante,2017, $750.56 ," $9,006.72 "," $12,036.00 "," $3,029.28 ",,,,,,,-, none 
7984588538,Ford,F250,2018, $608.83 ," $7,305.96 "," $15,295.00 "," $7,989.04 ",,,,,,,-, none 
2577050747,Mercedes-Benz,500SEL,2017, $493.03 ," $5,916.36 "," $14,080.00 "," $8,163.64 ",,,,,,,-, none 
2319527001,Chevrolet,Silverado 1500,2017, $793.39 ," $9,520.68 "," $8,751.00 ", $(769.68),,,,,,,2319527001, $(769.68)
8908136576,Chevrolet,Corvette,2016, $788.32 ," $9,459.84 "," $14,113.00 "," $4,653.16 ",,,,,,,-, none 
3986363866,Porsche,911,2018, $776.60 ," $9,319.20 "," $12,003.00 "," $2,683.80 ",,,,,,,-, none 
1283430894,Pontiac,Bonneville,2016, $642.74 ," $7,712.88 "," $7,714.00 ", $1.12 ,,,,,,,-, none 
1043735267,BMW,7 Series,2017, $569.59 ," $6,835.08 "," $13,580.00 "," $6,744.92 ",,,,,,,-, none 
6755497398,Chevrolet,Express,2017, $654.21 ," $7,850.52 "," $12,574.00 "," $4,723.48 ",,,,,,,-, none 
2756415995,Nissan,Quest,2018, $688.69 ," $8,264.28 "," $12,714.00 "," $4,449.72 ",,,,,,,-, none 
4623419045,BMW,6 Series,2017, $629.94 ," $7,559.28 "," $12,478.00 "," $4,918.72 ",,,,,,,-, none 
2758636468,Buick,Rainier,2018, $762.85 ," $9,154.20 "," $20,488.00 "," $11,333.80 ",,,,,,,-, none 
9513774902,Buick,Special,2017, $897.00 ," $10,764.00 "," $12,771.00 "," $2,007.00 ",,,,,,,-, none 
8669395878,Dodge,Stratus,2018, $559.52 ," $6,714.24 "," $11,834.00 "," $5,119.76 ",,,,,,,-, none 
2449616381,Subaru,Impreza,2017, $883.64 ," $10,603.68 "," $15,456.00 "," $4,852.32 ",,,,,,,-, none 
6641676749,Dodge,Ram Van 3500,2016, $768.36 ," $9,220.32 "," $15,616.00 "," $6,395.68 ",,,,,,,-, none 
4374426558,Ford,Falcon,2018, $686.78 ," $8,241.36 "," $11,764.00 "," $3,522.64 ",,,,,,,-, none 
6905906441,Mazda,B-Series,2018, $632.21 ," $7,586.52 "," $13,212.00 "," $5,625.48 ",,,,,,,-, none 
6635398422,Ford,Escape,2018, $610.77 ," $7,329.24 "," $11,596.00 "," $4,266.76 ",,,,,,,-, none 
5718362394,GMC,Rally Wagon 3500,2018, $702.74 ," $8,432.88 "," $12,612.00 "," $4,179.12 ",,,,,,,-, none 
5233686503,Audi,90,2018, $724.66 ," $8,695.92 "," $19,186.00 "," $10,490.08 ",,,,,,,-, none 
9508625120,Lincoln,Town Car,2017, $672.10 ," $8,065.20 "," $9,444.00 "," $1,378.80 ",,,,,,,-, none 
6864072746,Mercedes-Benz,CLS-Class,2017, $540.71 ," $6,488.52 "," $14,756.00 "," $8,267.48 ",,,,,,,-, none 
4130773992,Mercedes-Benz,S-Class,2017, $788.72 ," $9,464.64 "," $18,918.00 "," $9,453.36 ",,,,,,,-, none 
4551797707,Honda,Accord,2017, $742.87 ," $8,914.44 "," $15,116.00 "," $6,201.56 ",,,,,,,-, none 
660817411,Acura,Integra,2018, $865.25 ," $10,383.00 "," $10,116.00 ", $(267.00),,,,,,,660817411, $(267.00)
2990211462,Aston Martin,DB9,2017, $811.33 ," $9,735.96 "," $11,695.00 "," $1,959.04 ",,,,,,,-, none 
1643994174,Isuzu,Trooper,2016, $570.58 ," $6,846.96 "," $11,333.00 "," $4,486.04 ",,,,,,,-, none 
8871050878,Hyundai,Accent,2016, $719.42 ," $8,633.04 "," $16,367.00 "," $7,733.96 ",,,,,,,-, none 
2219854280,Dodge,Viper,2016, $618.39 ," $7,420.68 "," $11,702.00 "," $4,281.32 ",,,,,,,-, none 
3071772912,Saturn,L-Series,2018, $549.94 ," $6,599.28 "," $9,776.00 "," $3,176.72 ",,,,,,,-, none 
1536406201,Chevrolet,Suburban,2016, $861.37 ," $10,336.44 "," $18,901.00 "," $8,564.56 ",,,,,,,-, none 
9636333084,Ford,Ranger,2017, $700.33 ," $8,403.96 "," $13,441.00 "," $5,037.04 ",,,,,,,-, none 
4072551708,Saturn,L-Series,2016, $523.86 ," $6,286.32 "," $7,627.00 "," $1,340.68 ",,,,,,,-, none 
9489547352,Volkswagen,Cabriolet,2017, $745.02 ," $8,940.24 "," $14,965.00 "," $6,024.76 ",,,,,,,-, none 
2361286262,Buick,Riviera,2016, $876.06 ," $10,512.72 "," $19,261.00 "," $8,748.28 ",,,,,,,-, none 
8063266048,Hyundai,Santa Fe,2018, $556.51 ," $6,678.12 "," $14,145.00 "," $7,466.88 ",,,,,,,-, none 
8330376729,Nissan,GT-R,2017, $733.35 ," $8,800.20 "," $13,745.00 "," $4,944.80 ",,,,,,,-, none 
7004451593,Audi,5000S,2018, $781.13 ," $9,373.56 "," $12,086.00 "," $2,712.44 ",,,,,,,-, none 
9212082696,Isuzu,Trooper,2018, $833.05 ," $9,996.60 "," $13,280.00 "," $3,283.40 ",,,,,,,-, none 
2002311099,Chevrolet,Corvette,2017, $652.21 ," $7,826.52 "," $12,258.00 "," $4,431.48 ",,,,,,,-, none 
7395173309,Mitsubishi,Outlander,2017, $712.58 ," $8,550.96 "," $10,251.00 "," $1,700.04 ",,,,,,,-, none 
8978614027,Land Rover,LR4,2018, $777.70 ," $9,332.40 "," $14,836.00 "," $5,503.60 ",,,,,,,-, none 
3892171483,GMC,Suburban 1500,2018, $621.20 ," $7,454.40 "," $18,856.00 "," $11,401.60 ",,,,,,,-, none 
898297621,Audi,R8,2018, $878.31 ," $10,539.72 "," $9,821.00 ", $(718.72),,,,,,,898297621, $(718.72)
7435768138,Chevrolet,2500,2018, $481.74 ," $5,780.88 "," $10,586.00 "," $4,805.12 ",,,,,,,-, none 
7309311914,Dodge,Viper,2018, $604.75 ," $7,257.00 "," $10,384.00 "," $3,127.00 ",,,,,,,-, none 
9858396198,Saturn,L-Series,2016, $653.19 ," $7,838.28 "," $11,963.00 "," $4,124.72 ",,,,,,,-, none 
6716957502,Hyundai,Accent,2017, $830.72 ," $9,968.64 "," $9,052.00 ", $(916.64),,,,,,,6716957502, $(916.64)
8570361963,Ford,Bronco II,2016, $667.35 ," $8,008.20 "," $8,844.00 ", $835.80 ,,,,,,,-, none 
7320654962,Buick,LaCrosse,2018, $785.89 ," $9,430.68 "," $13,356.00 "," $3,925.32 ",,,,,,,-, none 
5986703634,Ford,Escort,2017, $784.70 ," $9,416.40 "," $15,185.00 "," $5,768.60 ",,,,,,,-, none 
4625968054,Chevrolet,Suburban 1500,2016, $686.95 ," $8,243.40 "," $12,161.00 "," $3,917.60 ",,,,,,,-, none 
3833449845,Hummer,H1,2018, $729.41 ," $8,752.92 "," $11,990.00 "," $3,237.08 ",,,,,,,-, none 
7733614597,Mercury,Grand Marquis,2018, $587.49 ," $7,049.88 "," $10,739.00 "," $3,689.12 ",,,,,,,-, none 
8643605530,Ford,Taurus,2018, $570.33 ," $6,843.96 "," $14,678.00 "," $7,834.04 ",,,,,,,-, none 
81576366,Ford,E350,2018, $698.34 ," $8,380.08 "," $12,656.00 "," $4,275.92 ",,,,,,,-, none 
4512295410,Volkswagen,Eurovan,2017, $786.59 ," $9,439.08 "," $17,733.00 "," $8,293.92 ",,,,,,,-, none 
7319693070,Oldsmobile,Bravada,2016, $637.63 ," $7,651.56 "," $14,100.00 "," $6,448.44 ",,,,,,,-, none 
